Date|Open|High|Low|Close|Volume|Market Cap
Sep 15, 2017|0.455225|0.580569|0.337512|0.556243|695,952|18,540,100
Sep 14, 2017|0.774664|0.784810|0.455018|0.458720|618,250|31,544,800
Sep 13, 2017|0.778822|0.889894|0.722681|0.775586|719,922|31,708,900
Sep 12, 2017|0.753289|0.841471|0.738158|0.781306|595,823|30,663,100
Sep 11, 2017|0.730663|0.787777|0.713806|0.755877|295,854|29,737,100
Sep 10, 2017|0.807383|0.807383|0.697667|0.733691|263,444|32,854,600
Sep 09, 2017|0.816151|0.830460|0.732321|0.814464|587,810|33,206,800
Sep 08, 2017|1.07|1.07|0.755624|0.795924|560,709|43,607,900
Sep 07, 2017|1.12|1.12|0.941366|1.05|436,240|45,556,800
Sep 06, 2017|1.02|1.15|1.00|1.12|556,284|41,560,100
Sep 05, 2017|1.01|1.07|0.864871|1.02|555,011|41,201,700
Sep 04, 2017|1.15|1.19|0.977478|1.01|803,737|46,651,100
Sep 03, 2017|1.15|1.21|1.08|1.15|242,568|46,645,800
Sep 02, 2017|1.22|1.29|1.10|1.18|369,948|49,707,300
Sep 01, 2017|1.25|1.29|1.12|1.27|261,574|50,809,800
Aug 31, 2017|1.21|1.26|1.20|1.23|192,166|49,307,700
Aug 30, 2017|1.27|1.27|1.19|1.21|392,562|51,382,500
Aug 29, 2017|1.21|1.28|1.20|1.26|394,387|49,256,400
Aug 28, 2017|1.21|1.35|1.14|1.22|687,161|49,068,600
Aug 27, 2017|1.31|1.33|1.19|1.21|279,597|53,216,600
Aug 26, 2017|1.32|1.44|1.29|1.31|564,841|53,474,400
Aug 25, 2017|1.16|1.87|1.13|1.34|2,685,200|47,274,300
Aug 24, 2017|1.10|1.18|1.07|1.16|245,582|44,595,800
Aug 23, 2017|1.12|1.17|1.09|1.09|455,546|45,625,500
Aug 22, 2017|1.17|1.19|0.987189|1.13|964,351|47,339,000
Aug 21, 2017|1.68|1.68|1.16|1.16|1,416,880|68,270,200
Aug 20, 2017|0.868226|1.66|0.820038|1.65|2,052,930|35,226,800
Aug 19, 2017|0.852844|0.891953|0.822976|0.855223|215,694|34,600,900
Aug 18, 2017|0.923483|0.978441|0.830175|0.857523|221,554|37,463,500
Aug 17, 2017|0.950558|0.981242|0.900220|0.943887|158,523|38,557,100
Aug 16, 2017|0.970141|1.02|0.921578|0.947309|286,526|39,346,500
Aug 15, 2017|0.932381|1.06|0.813604|0.965799|323,424|37,807,500
Aug 14, 2017|1.01|1.07|0.914120|0.941416|267,072|40,912,100
Aug 13, 2017|1.04|1.15|0.953781|1.04|209,149|41,961,500
Aug 12, 2017|1.07|1.16|1.00|1.13|214,748|43,180,800
Aug 11, 2017|1.11|1.17|1.03|1.07|305,150|45,091,400
Aug 10, 2017|1.02|1.22|1.01|1.15|409,286|41,135,900
Aug 09, 2017|1.04|1.11|1.00|1.01|383,865|42,124,500
Aug 08, 2017|1.04|1.12|1.01|1.04|652,832|41,960,900
Aug 07, 2017|1.05|1.09|0.965319|1.02|422,931|42,583,900
Aug 06, 2017|1.10|1.11|0.974766|0.982675|366,158|44,572,800
Aug 05, 2017|1.04|1.13|0.967167|1.08|462,926|41,904,700
Aug 04, 2017|0.946428|1.05|0.918031|1.02|251,039|38,296,700
Aug 03, 2017|0.948454|0.982538|0.921110|0.949206|156,467|38,376,500
Aug 02, 2017|0.882590|1.01|0.865948|0.944992|228,080|35,708,600
Aug 01, 2017|0.827447|0.888619|0.804861|0.881242|168,497|33,474,800
Jul 31, 2017|0.863168|0.885266|0.829437|0.846300|165,432|34,917,900
Jul 30, 2017|0.879582|0.879582|0.824002|0.861769|141,424|35,580,500
Jul 29, 2017|0.927275|0.949989|0.813590|0.867713|140,330|37,507,600
Jul 28, 2017|0.985671|1.00|0.898889|0.939448|148,932|39,867,500
Jul 27, 2017|0.863730|1.01|0.863730|0.980449|169,498|34,933,200
Jul 26, 2017|0.976339|1.00|0.803258|0.880444|176,980|39,469,100
Jul 25, 2017|1.08|1.15|0.910752|0.976647|410,614|43,552,300
Jul 24, 2017|1.03|1.14|0.934001|0.987834|562,608|41,524,000
Jul 23, 2017|1.19|1.20|0.967980|0.969684|726,275|47,901,600
Jul 22, 2017|1.09|1.22|1.08|1.18|261,849|43,932,600
Jul 21, 2017|1.07|1.09|1.01|1.09|283,230|43,043,800
Jul 20, 2017|0.979136|1.16|0.893146|1.05|743,364|39,569,600
Jul 19, 2017|0.932156|1.07|0.860062|1.02|764,344|37,669,800
Jul 18, 2017|0.873831|1.01|0.809718|0.931623|550,735|35,311,600
Jul 17, 2017|0.880965|1.02|0.716585|0.924229|639,959|35,597,000
Jul 16, 2017|0.874748|0.989777|0.694009|0.812187|587,336|35,343,400
Jul 15, 2017|0.952112|0.975404|0.780096|0.930330|662,408|38,460,900
Jul 14, 2017|1.06|1.09|0.817680|0.972768|589,508|42,795,500
Jul 13, 2017|0.924088|1.04|0.871274|1.04|355,047|37,307,800
Jul 12, 2017|0.905240|0.983909|0.817798|0.922925|541,012|36,540,800
Jul 11, 2017|1.13|1.15|0.852939|0.904498|567,328|45,554,700
Jul 10, 2017|1.27|1.27|0.939214|1.13|881,776|51,214,100
Jul 09, 2017|1.21|1.36|1.06|1.27|898,864|48,794,000
Jul 08, 2017|1.26|1.31|1.03|1.21|935,045|50,939,700
Jul 07, 2017|1.41|1.41|1.26|1.27|929,710|56,947,500
Jul 06, 2017|1.39|1.48|1.38|1.41|1,113,610|56,160,100
Jul 05, 2017|1.46|1.47|1.36|1.39|958,337|58,948,300
Jul 04, 2017|1.47|1.54|1.45|1.46|1,086,650|59,163,500
Jul 03, 2017|1.34|1.50|1.22|1.47|1,190,870|54,039,400
Jul 02, 2017|1.36|1.37|1.23|1.37|1,208,680|54,930,900
Jul 01, 2017|1.45|1.49|1.25|1.39|788,954|58,572,700
Jun 30, 2017|1.62|1.66|1.44|1.45|1,040,120|65,229,900
Jun 29, 2017|1.68|1.68|1.53|1.63|1,381,580|67,597,300
Jun 28, 2017|1.59|1.68|1.53|1.64|1,029,990|64,133,000
Jun 27, 2017|1.57|1.62|1.35|1.59|1,864,200|63,217,700
Jun 26, 2017|1.84|1.84|1.44|1.57|2,431,780|73,977,700
Jun 25, 2017|1.88|1.95|1.80|1.80|1,262,330|75,801,400
Jun 24, 2017|2.03|2.24|1.80|1.88|3,193,880|81,628,200
Jun 23, 2017|1.92|2.07|1.74|2.03|2,193,780|77,372,000
Jun 22, 2017|1.89|2.01|1.76|1.92|1,760,550|76,069,500
Jun 21, 2017|1.71|2.05|1.61|1.88|3,161,210|68,691,900
Jun 20, 2017|1.64|1.73|1.61|1.70|1,889,230|65,904,300
Jun 19, 2017|1.64|1.74|1.61|1.63|2,066,560|66,106,200
Jun 18, 2017|1.77|1.79|1.57|1.63|1,908,150|71,399,800
Jun 17, 2017|1.63|1.88|1.54|1.83|3,556,080|65,575,900
Jun 16, 2017|1.22|1.60|1.12|1.59|2,776,590|48,909,200
Jun 15, 2017|1.16|1.22|1.09|1.22|1,153,240|46,533,000
Jun 14, 2017|1.22|1.34|1.13|1.16|1,072,960|49,187,000
Jun 13, 2017|1.16|1.30|1.15|1.22|1,213,530|46,653,200
Jun 12, 2017|1.30|1.36|1.11|1.17|1,903,130|52,460,900
Jun 11, 2017|1.13|1.45|1.05|1.31|2,356,730|45,335,600
Jun 10, 2017|1.11|1.16|1.07|1.13|1,521,010|44,621,700
Jun 09, 2017|1.03|1.19|1.02|1.10|1,263,840|41,531,400
Jun 08, 2017|1.03|1.04|0.936558|1.04|1,139,370|41,501,300
Jun 07, 2017|1.07|1.08|1.02|1.03|880,911|42,808,400
Jun 06, 2017|1.11|1.13|0.974824|1.06|1,040,620|44,466,100
Jun 05, 2017|0.992070|1.12|0.990790|1.10|985,586|39,860,100
Jun 04, 2017|0.954325|0.994378|0.845245|0.991626|708,251|38,337,000
Jun 03, 2017|0.894900|0.962143|0.829098|0.956409|858,587|35,940,300
Jun 02, 2017|0.898215|0.928295|0.832405|0.888123|952,578|36,069,600
Jun 01, 2017|0.826010|0.916291|0.812136|0.898333|826,118|33,168,100
May 31, 2017|0.766976|0.875823|0.701278|0.827817|824,452|30,785,500
May 30, 2017|0.863629|0.922868|0.755744|0.764661|822,787|34,663,700
May 29, 2017|0.801189|0.878161|0.727835|0.862209|980,824|32,155,300
May 28, 2017|0.792385|0.837451|0.724318|0.798873|1,036,590|31,800,400
May 27, 2017|0.823127|0.836664|0.523900|0.789888|1,477,370|33,031,400
May 26, 2017|0.946898|1.09|0.790547|0.814313|991,188|37,994,500
May 25, 2017|1.17|1.18|0.938119|0.945168|1,357,130|46,899,300
May 24, 2017|1.33|1.35|1.13|1.16|1,238,470|53,228,600
May 23, 2017|1.15|1.35|1.09|1.34|1,404,900|45,918,900
May 22, 2017|1.03|1.24|0.990041|1.17|1,433,730|41,415,000
May 21, 2017|1.02|1.07|1.01|1.03|945,341|40,705,800
May 20, 2017|1.03|1.05|0.965042|1.02|554,759|41,182,800
May 19, 2017|0.949194|1.09|0.945985|1.04|893,526|38,021,700
May 18, 2017|0.895490|0.968459|0.892706|0.941042|653,473|35,865,900
May 17, 2017|0.933471|0.961825|0.847853|0.897930|565,110|37,384,500
May 16, 2017|0.896557|0.981839|0.804706|0.962138|929,795|35,900,000
May 15, 2017|0.981722|1.00|0.878001|0.899269|872,620|39,305,100
May 14, 2017|1.18|1.20|0.957659|0.978770|1,360,970|47,134,600
May 13, 2017|0.610229|1.25|0.564450|1.16|5,001,380|24,426,600
May 12, 2017|0.618489|0.672917|0.611293|0.615857|304,419|24,753,900
May 11, 2017|0.715376|0.715376|0.577447|0.610670|386,110|28,627,600
May 10, 2017|0.764973|0.787655|0.705825|0.715178|315,672|30,601,200
May 09, 2017|0.795415|0.823083|0.671865|0.765184|508,393|31,812,800
May 08, 2017|0.729378|0.832994|0.729378|0.795552|737,626|29,167,000
May 07, 2017|0.734447|0.829405|0.666051|0.720539|1,145,480|29,367,200
May 06, 2017|0.632251|0.734549|0.585954|0.734549|868,967|25,278,200
May 05, 2017|0.631983|0.707001|0.551965|0.634147|772,325|25,265,700
May 04, 2017|0.608561|0.652021|0.585245|0.638566|453,808|24,327,800
May 03, 2017|0.543508|0.612666|0.529416|0.608546|457,639|21,725,800
May 02, 2017|0.602873|0.621818|0.488444|0.554254|435,696|24,097,300
May 01, 2017|0.683653|0.701523|0.475181|0.602522|537,586|27,321,500
Apr 30, 2017|0.630821|0.685772|0.623412|0.681042|638,843|25,209,000
Apr 29, 2017|0.601762|0.633134|0.594037|0.632048|378,595|24,045,600
Apr 28, 2017|0.519988|0.629489|0.509889|0.608818|660,792|20,776,500
Apr 27, 2017|0.533873|0.552657|0.513481|0.518647|238,528|21,330,200
Apr 26, 2017|0.514841|0.541184|0.501757|0.535170|227,533|20,568,700
Apr 25, 2017|0.510971|0.531904|0.487432|0.514549|172,157|20,412,100
Apr 24, 2017|0.492208|0.515079|0.472564|0.511423|186,483|19,661,500
Apr 23, 2017|0.440445|0.532948|0.436962|0.486833|341,938|17,591,900
Apr 22, 2017|0.440432|0.445671|0.431849|0.440572|127,194|17,589,600
Apr 21, 2017|0.429191|0.445497|0.419808|0.439335|204,287|17,133,400
Apr 20, 2017|0.486866|0.486997|0.418259|0.430841|190,690|19,433,900
Apr 19, 2017|0.480009|0.499574|0.465007|0.486816|206,689|19,158,700
Apr 18, 2017|0.456482|0.506696|0.451926|0.479655|343,437|18,218,200
Apr 17, 2017|0.438983|0.476529|0.437775|0.454786|195,882|17,518,300
Apr 16, 2017|0.439930|0.447097|0.425627|0.441766|208,742|17,554,600
Apr 15, 2017|0.416560|0.455340|0.416543|0.439670|229,132|16,620,100
Apr 14, 2017|0.393802|0.420163|0.391202|0.416810|171,141|15,710,300
Apr 13, 2017|0.393485|0.400792|0.389267|0.391960|91,540|15,696,300
Apr 12, 2017|0.400227|0.405575|0.381952|0.393749|157,637|15,964,200
Apr 11, 2017|0.405933|0.419301|0.389155|0.398578|217,386|16,190,600
Apr 10, 2017|0.369499|0.441273|0.368283|0.405787|386,998|14,735,600
Apr 09, 2017|0.358302|0.383631|0.355248|0.369536|141,029|14,286,400
Apr 08, 2017|0.355326|0.366613|0.353509|0.354149|81,133|14,160,700
Apr 07, 2017|0.371334|0.380721|0.347430|0.356001|186,339|14,790,400
Apr 06, 2017|0.386611|0.415787|0.365223|0.371686|212,489|15,393,800
Apr 05, 2017|0.368751|0.387293|0.338342|0.386261|141,081|14,679,500
Apr 04, 2017|0.379485|0.379533|0.335715|0.370970|180,404|15,104,400
Apr 03, 2017|0.411593|0.466421|0.347608|0.381741|382,964|16,381,500
Apr 02, 2017|0.374702|0.419506|0.368505|0.408741|284,458|14,912,500
Apr 01, 2017|0.339731|0.408971|0.335913|0.374849|391,277|13,519,700
Mar 31, 2017|0.320569|0.355533|0.320569|0.339730|240,264|12,754,700
Mar 30, 2017|0.343412|0.354004|0.310110|0.322602|216,676|13,662,600
Mar 29, 2017|0.339047|0.348449|0.331856|0.342539|61,164|13,487,900
Mar 28, 2017|0.349034|0.350170|0.328994|0.335774|94,478|13,883,500
Mar 27, 2017|0.315073|0.352752|0.312625|0.348956|151,564|12,531,500
Mar 26, 2017|0.315823|0.326343|0.307202|0.313459|76,281|12,559,500
Mar 25, 2017|0.316256|0.317948|0.300702|0.316032|91,903|12,575,200
Mar 24, 2017|0.326941|0.334536|0.308961|0.316094|173,399|12,999,300
Mar 23, 2017|0.324685|0.344622|0.310680|0.331805|178,706|12,908,400
Mar 22, 2017|0.340176|0.346395|0.295608|0.321196|236,992|13,523,300
Mar 21, 2017|0.354291|0.379172|0.334204|0.342587|253,232|14,075,000
Mar 20, 2017|0.308062|0.395536|0.292184|0.348687|419,958|12,236,700
Mar 19, 2017|0.265358|0.315382|0.262846|0.309861|139,865|10,539,000
Mar 18, 2017|0.300836|0.307186|0.261640|0.262442|128,581|11,946,100
Mar 17, 2017|0.320171|0.323390|0.272252|0.294075|235,011|12,711,900
Mar 16, 2017|0.364843|0.403963|0.287027|0.315571|462,034|14,483,700
Mar 15, 2017|0.290127|0.366315|0.283581|0.338620|450,537|11,516,100
Mar 14, 2017|0.294014|0.328107|0.269111|0.294892|280,512|11,669,200
Mar 13, 2017|0.229048|0.346084|0.229048|0.291504|778,324|9,089,670
Mar 12, 2017|0.195953|0.236386|0.195953|0.232790|121,630|7,775,320
Mar 11, 2017|0.186826|0.200212|0.186826|0.195882|31,618|7,411,980
Mar 10, 2017|0.199403|0.204384|0.181306|0.186810|58,079|7,910,300
Mar 09, 2017|0.194166|0.205281|0.189875|0.199314|55,364|7,701,660
Mar 08, 2017|0.210162|0.211733|0.193325|0.194244|108,933|8,335,310
Mar 07, 2017|0.202367|0.224152|0.199260|0.208995|121,882|8,024,930
Mar 06, 2017|0.189586|0.207865|0.185556|0.202348|69,640|7,517,400
Mar 05, 2017|0.190805|0.192508|0.185619|0.188761|26,904|7,564,650
Mar 04, 2017|0.195132|0.197959|0.184503|0.190870|24,909|7,734,170
Mar 03, 2017|0.190467|0.201393|0.187582|0.194973|32,265|7,544,790
Mar 02, 2017|0.193227|0.201848|0.181057|0.190537|57,382|7,650,230
Mar 01, 2017|0.185409|0.200642|0.182804|0.193148|41,606|7,340,190
Feb 28, 2017|0.184717|0.188209|0.181637|0.185383|15,747|7,306,510
Feb 27, 2017|0.189776|0.194466|0.183503|0.184556|13,653|7,505,900
Feb 26, 2017|0.188621|0.192229|0.186739|0.190187|9,955|7,459,650
Feb 25, 2017|0.191972|0.193495|0.188482|0.188632|8,897|7,591,750
Feb 24, 2017|0.187307|0.195861|0.186734|0.192032|19,693|7,406,770
Feb 23, 2017|0.192262|0.193699|0.177589|0.186736|19,480|7,602,120
Feb 22, 2017|0.198090|0.198269|0.185560|0.192263|14,192|7,831,860
Feb 21, 2017|0.195871|0.198876|0.192945|0.198105|23,295|7,743,050
Feb 20, 2017|0.198276|0.198592|0.193298|0.195932|9,400|7,837,150
Feb 19, 2017|0.192569|0.200642|0.191993|0.198133|15,215|7,610,660
Feb 18, 2017|0.192464|0.198082|0.190899|0.192542|16,311|7,605,880
Feb 17, 2017|0.194544|0.200021|0.186998|0.191738|15,870|7,687,140
Feb 16, 2017|0.196390|0.200299|0.192106|0.194656|15,585|7,755,900
Feb 15, 2017|0.186378|0.201565|0.181651|0.196412|27,415|7,359,840
Feb 14, 2017|0.178190|0.188051|0.175138|0.186200|21,949|7,035,930
Feb 13, 2017|0.189072|0.189123|0.171250|0.178034|21,855|7,465,050
Feb 12, 2017|0.191711|0.195521|0.185255|0.189172|13,623|7,568,590
Feb 11, 2017|0.189904|0.197451|0.186710|0.191780|22,000|7,496,810
Feb 10, 2017|0.192075|0.193237|0.182672|0.189006|23,705|7,581,340
Feb 09, 2017|0.201891|0.206502|0.179231|0.192485|39,197|7,967,810
Feb 08, 2017|0.207127|0.209702|0.195036|0.201776|24,231|8,173,770
Feb 07, 2017|0.215603|0.218052|0.201322|0.207098|58,717|8,507,350
Feb 06, 2017|0.192004|0.216881|0.191818|0.215660|84,409|7,575,120
Feb 05, 2017|0.193744|0.198017|0.188587|0.191819|32,057|7,642,760
Feb 04, 2017|0.191828|0.591320|0.190007|0.193846|17,611|7,566,240
Feb 03, 2017|0.186714|0.193833|0.185633|0.191755|31,920|7,363,770
Feb 02, 2017|0.189221|0.196842|0.185589|0.187191|27,804|7,462,000
Feb 01, 2017|0.192683|0.196324|0.186021|0.189864|25,585|7,596,960
Jan 31, 2017|0.186991|0.196558|0.186163|0.192688|16,331|7,371,460
Jan 30, 2017|0.196013|0.196021|0.185920|0.186990|11,637|7,726,510
Jan 29, 2017|0.182256|0.196008|0.182256|0.196005|16,812|7,183,620
Jan 28, 2017|0.186348|0.197473|0.175832|0.184428|18,122|7,343,590
Jan 27, 2017|0.176115|0.197372|0.175367|0.186340|25,593|6,939,730
Jan 26, 2017|0.182982|0.240389|0.170058|0.176067|13,737|7,208,940
Jan 25, 2017|0.178795|0.184247|0.169341|0.181317|11,257|7,042,980
Jan 24, 2017|0.182975|0.183008|0.173009|0.178759|6,418|7,206,290
Jan 23, 2017|0.181965|0.187087|0.175126|0.183073|11,014|7,165,670
Jan 22, 2017|0.186069|0.187988|0.179568|0.181827|15,218|7,326,280
Jan 21, 2017|0.181387|0.188570|0.175079|0.186070|23,783|7,140,620
Jan 20, 2017|0.184312|0.190869|0.180614|0.181387|13,462|7,254,910
Jan 19, 2017|0.181103|0.187579|0.181103|0.184358|18,571|7,127,640
Jan 18, 2017|0.191875|0.194023|0.178607|0.180852|13,621|7,550,270
Jan 17, 2017|0.189715|0.196253|0.185288|0.191798|20,576|7,463,600
Jan 16, 2017|0.188490|0.194671|0.181692|0.189690|9,825|7,414,170
Jan 15, 2017|0.188003|0.195465|0.187249|0.188495|10,452|7,393,900
Jan 14, 2017|0.190937|0.197507|0.186351|0.188058|7,064|7,508,360
Jan 13, 2017|0.187801|0.192627|0.181010|0.190800|15,958|7,383,310
Jan 12, 2017|0.181766|0.190864|0.178084|0.187804|20,527|7,142,040
Jan 11, 2017|0.200858|0.205089|0.179190|0.181816|31,233|7,890,700
Jan 10, 2017|0.198699|0.206348|0.197935|0.200868|19,095|7,804,120
Jan 09, 2017|0.202132|0.203156|0.192978|0.199328|15,766|7,937,700
Jan 08, 2017|0.198590|0.210074|0.193654|0.202000|28,099|7,797,720
Jan 07, 2017|0.222839|0.223157|0.187289|0.202558|28,124|8,748,730
Jan 06, 2017|0.219131|0.226654|0.189991|0.222761|245,992|8,601,880
Jan 05, 2017|0.249597|0.249597|0.193103|0.219074|251,483|9,796,780
Jan 04, 2017|0.225566|0.249442|0.195591|0.245420|120,998|8,852,350
Jan 03, 2017|0.192070|0.226825|0.155579|0.225567|184,853|7,536,820
Jan 02, 2017|0.163650|0.213880|0.154983|0.189936|56,781|6,420,920
Jan 01, 2017|0.148754|0.192230|0.148754|0.163603|36,744|5,835,900
Dec 31, 2016|0.198795|0.206578|0.148704|0.148740|21,831|7,797,590
Dec 30, 2016|0.197385|0.211050|0.192009|0.198773|23,359|7,741,000
Dec 29, 2016|0.178622|0.203472|0.171744|0.197289|16,849|7,004,290
Dec 28, 2016|0.183729|0.199548|0.164975|0.178608|31,081|7,203,610
Dec 27, 2016|0.194099|0.198639|0.181281|0.183711|33,492|7,607,950
Dec 26, 2016|0.195571|0.199824|0.183817|0.191892|35,854|7,662,590
Dec 25, 2016|0.202173|0.202196|0.175937|0.195602|30,032|7,920,720
Dec 24, 2016|0.205961|0.214759|0.188006|0.202200|37,791|8,068,120
Dec 23, 2016|0.207530|0.217824|0.190165|0.213069|51,307|8,128,250
